systematic_id ; common_name ; description
Q0045 ; COX1 ; Subunit I of cytochrome c oxidase (Complex IV)
Q0070 ; AI5_ALPHA ; Endonuclease I-SceIV
Q0080 ; ATP8 ; Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase
Q0085 ; ATP6 ; Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase
Q0130 ; OLI1 ; F0-ATP synthase subunit c (ATPase-associated proteolipid)
Q0140 ; VAR1 ; Mitochondrial ribosomal protein of the small subunit
Q0250 ; COX2 ; Subunit II of cytochrome c oxidase (Complex IV)
Q0275 ; COX3 ; Subunit III of cytochrome c oxidase (Complex IV)
YAL001C ; TFC3 ; Subunit of RNA polymerase III transcription initiation factor complex
YAL002W ; VPS8 ; Membrane-binding component of the CORVET complex
YAL003W ; EFB1 ; Translation elongation factor 1 beta
YAL004W ; nan ; Dubious open reading frame
YAL005C ; SSA1 ; ATPase involved in protein folding and NLS-directed nuclear transport
YAL007C ; ERP2 ; Member of the p24 family involved in ER to Golgi transport
YAL008W ; FUN14 ; Integral mitochondrial outer membrane (MOM) protein
YAL009W ; SPO7 ; Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme
YAL010C ; MDM10 ; Subunit of both the ERMES and the SAM complex
YAL011W ; SWC3 ; Protein of unknown function
YAL012W ; CYS3 ; Cystathionine gamma-lyase
YAL013W ; DEP1 ; Component of the Rpd3L histone deacetylase complex
YAL014C ; SYN8 ; Endosomal SNARE related to mammalian syntaxin 8
YAL015C ; NTG1 ; DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase
YAL016W ; TPD3 ; Regulatory subunit A of the heterotrimeric PP2A complex
YAL017W ; PSK1 ; PAS domain-containing serine/threonine protein kinase
YAL018C ; LDS1 ; Protein Involved in spore wall assembly
YAL019W ; FUN30 ; Snf2p family member with ATP-dependent chromatin remodeling activity
YAL020C ; ATS1 ; Protein required for modification of wobble nucleosides in tRNA
YAL021C ; CCR4 ; Component of the CCR4-NOT transcriptional complex
YAL022C ; FUN26 ; High affinity, broad selectivity, nucleoside/nucleobase transporter
YAL023C ; PMT2 ; Protein O-mannosyltransferase of the ER membrane
YAL024C ; LTE1 ; Protein similar to GDP/GTP exchange factors
YAL025C ; MAK16 ; Essential nuclear protein
YAL026C ; DRS2 ; Trans-golgi network aminophospholipid translocase (flippase)
YAL027W ; SAW1 ; 5'- and 3'-flap DNA binding protein
